,genre,artist,track,popularity,danceability,instrumentalness,favorite,prediction
46148,Blues,Howlin' Wolf,Spoonful,51,0.821,1.39e-05,0,1
46306,Blues,Chuck Berry,No Particular Place To Go - Single Version,53,0.494,0.000909,0,1
46379,Blues,Taj Mahal,Diving Duck Blues,48,0.603,1.65e-06,0,1
46410,Blues,Ella Fitzgerald,Let's Call The Whole Thing Off,52,0.654,0.0,0,1
46556,Blues,Shirley Brown,Woman To Woman,45,0.608,5.47e-05,0,1
47322,Blues,Black Pistol Fire,Bully,44,0.369,5.14e-06,0,1
47861,Blues,"Blood, Sweat & Tears",Spinning Wheel,46,0.695,2.47e-05,0,1
51542,Blues,Fatoumata Diawara,Sowa,43,0.773,0.0,0,1
53882,R&B,Melii,See Me,64,0.446,0.0,0,1
53885,R&B,Ella Mai,Cheap Shot,61,0.769,1.5399999999999998e-05,0,1
53886,R&B,Ella Mai,Makes Me Wonder,61,0.728,0.0,0,1
53897,R&B,JP Saxe,The Few Things,64,0.536,2.26e-05,0,1
53906,R&B,Elijah Blake,Black and Blue,58,0.535,0.0,0,1
53945,R&B,Snoh Aalegra,Nothing Burns Like The Cold,63,0.517,0.00146,0,1
53949,R&B,Rita Ora,Anywhere,80,0.628,0.0,0,1
53970,R&B,Alicia Keys,Un-thinkable (I'm Ready),64,0.595,1.9699999999999998e-05,0,1
53972,R&B,Jinsang,Quiet,64,0.7440000000000001,0.7659999999999999,0,1
53990,R&B,Tora,Too Little,65,0.677,0.131,0,1
53996,R&B,Jorja Smith,Goodbyes,68,0.512,0.0,0,1
53997,R&B,Sevyn Streeter,Been A Minute (feat. August Alsina),62,0.731,0.0,0,1
54002,R&B,Omar Apollo,Hijo de Su Madre,59,0.8290000000000001,0.391,0,1
54011,R&B,Julia Michaels,Deep,65,0.7390000000000001,0.0,0,1
54051,R&B,6LACK,Been A While,66,0.442,1.7100000000000002e-05,0,1
54068,R&B,Smino,blkswn,61,0.716,0.0,0,1
54073,R&B,The Internet,Girl,67,0.568,0.124,0,1
54095,R&B,Bryson Tiller,Rambo,63,0.635,2.01e-06,0,1
54115,R&B,Usher,Love in This Club (feat. Young Jeezy),66,0.573,0.0,0,1
54125,R&B,Jakob Ogawa,Sunshine Girl - Demo,58,0.6559999999999999,0.261,0,1
54130,R&B,Saba,BUSY / SIRENS,64,0.667,0.0,0,1
54145,R&B,Usher,Burn - Confession Special Edition Version,66,0.7959999999999999,0.0,0,1
54149,R&B,Ne-Yo,Closer,59,0.711,2.9600000000000005e-05,0,1
54161,R&B,Kid Ink,Be Real (feat. DeJ Loaf),67,0.762,0.00035099999999999997,0,1
54362,Movie,Idoles De La Musique,De temps en temps,0,0.7290000000000001,6.4e-05,0,1
54718,R&B,SZA,Pretty Little Birds (feat. Isaiah Rashad),61,0.529,0.00314,0,1
54729,R&B,Janelle Monáe,I Like That - Recorded at Spotify Studios NYC,61,0.522,2.18e-06,0,1
54744,R&B,Ciara,Greatest Love,67,0.687,0.0,0,1
54745,R&B,Demi Lovato,Lonely,63,0.655,0.0,0,1
54750,R&B,Raveena,Sweet Time,61,0.8190000000000001,0.00199,0,1
54757,R&B,Jorja Smith,Let Me Down,69,0.547,0.0,0,1
54758,R&B,Ravyn Lenae,Free Room (feat. Appleby),62,0.778,0.000557,0,1
54768,R&B,Tory Lanez,I Sip,65,0.625,0.0,0,1
54777,R&B,Jaheim,Put That Woman First,63,0.649,0.0,0,1
54780,R&B,Sevyn Streeter,Before I Do,61,0.66,0.0,0,1
54784,R&B,ROSALÍA,BAGDAD - Cap.7: Liturgia,70,0.7070000000000001,6.97e-05,0,1
54785,R&B,Roy Woods,Down Girl,64,0.797,0.0,0,1
54795,R&B,Destiny's Child,"Bills, Bills, Bills",65,0.845,0.0,0,1
54796,R&B,Dijon,Drunk,58,0.47200000000000003,0.0,0,1
54798,R&B,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",64,0.611,1.52e-06,0,1
54826,R&B,Big Sean,Sacrifices,63,0.77,0.0,0,1
54827,R&B,Julia Michaels,Uh Huh,59,0.775,4.36e-05,0,1
54829,R&B,Olivia O'Brien,Care Less More,65,0.746,0.0,0,1
54845,R&B,Brent Faiyaz,Trust,58,0.764,7.54e-05,0,1
54853,R&B,Mýa,It's All About Me,61,0.8079999999999999,0.0,0,1
54856,R&B,DPR LIVE,Jasmine,64,0.593,0.0,0,1
54870,R&B,Beyoncé,Dangerously In Love,60,0.609,0.0,0,1
54876,R&B,Sammie,Tsunami,58,0.47600000000000003,0.0,0,1
54880,R&B,NIKI,Chilly,61,0.7340000000000001,5.27e-06,0,1
54886,R&B,The Carters,HEARD ABOUT US,56,0.6829999999999999,0.0,0,1
54887,R&B,Kehlani,Jealous (feat. Lexii Alijai),61,0.5589999999999999,0.0,0,1
54892,R&B,DEAN,dayfly,62,0.726,8.14e-06,0,1
54906,R&B,Omar Apollo,Heart,57,0.71,0.00021899999999999998,0,1
54907,R&B,Tori Kelly,Never Alone,60,0.561,2.64e-06,0,1
54914,R&B,Still Woozy,Vacation,59,0.606,0.0048200000000000005,0,1
54921,R&B,Ella Mai,Who Knew,57,0.6990000000000001,0.0,0,1
54923,R&B,Fifth Harmony,Don't Say You Love Me,69,0.585,0.0,0,1
54924,R&B,The-Dream,Bedroom,62,0.654,5.1e-05,0,1
54925,R&B,Marc E. Bassy,XX,62,0.6509999999999999,1.65e-05,0,1
54935,R&B,Elder Island,Bamboo,66,0.5539999999999999,6.11e-05,0,1
54963,R&B,ROSALÍA,DI MI NOMBRE - Cap.8: Éxtasis,72,0.794,5.18e-05,0,1
54966,R&B,Pia Mia,I'm A Fan (feat. Jeremih),64,0.6509999999999999,0.0,0,1
54967,R&B,Destiny's Child,Cater 2 U,63,0.605,0.0,0,1
54968,R&B,Olivia O'Brien,Find What You're Looking For,64,0.726,0.0,0,1
54974,R&B,DeJ Loaf,Hey There,58,0.633,0.000146,0,1
54983,R&B,DeJ Loaf,You Belong To Somebody Else,58,0.79,5.83e-06,0,1
54993,R&B,Ravyn Lenae,The Night Song,58,0.6709999999999999,0.0,0,1
55026,R&B,Masego,Queen Tings,61,0.818,0.000135,0,1
55029,R&B,Kid Ink,Hell & Back,63,0.597,0.0,0,1
55033,R&B,Chloe x Halle,Down,55,0.6940000000000001,0.0,0,1
55040,R&B,Rotimi,Want More,59,0.6679999999999999,0.0,0,1
55047,R&B,Brandy,Full Moon,58,0.6920000000000001,0.0029,0,1
55067,R&B,Lloyd,Southside,61,0.627,0.0,0,1
55089,R&B,Sango,Hipster Girl,58,0.706,0.0194,0,1
55093,R&B,Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby""",69,0.43,0.0,0,1
55125,R&B,Frank Ocean,Lens,62,0.6809999999999999,0.0,0,1
55137,R&B,Ms. Lauryn Hill,Nothing Even Matters,63,0.539,3.18e-06,0,1
55139,R&B,Little Mix,Salute,68,0.6409999999999999,0.0,0,1
55140,R&B,Eric Bellinger,Mean What You Say,56,0.435,0.0,0,1
55151,R&B,Usher,No Limit (feat. Young Thug),62,0.7170000000000001,0.0,0,1
55165,R&B,Kehlani,Do U Dirty,59,0.653,0.0,0,1
55169,R&B,Jessie Reyez,Saint Nobody,57,0.706,0.0,0,1
55192,R&B,Mick Jenkins,Jazz,65,0.636,0.000121,0,1
55217,R&B,3LW,No More (Baby I'ma Do Right),61,0.721,4.4e-06,0,1
55223,R&B,Bow Wow,Like You,64,0.7140000000000001,0.0,0,1
55234,R&B,Usher,Climax,62,0.647,2.6899999999999997e-05,0,1
55235,R&B,Chris Brown,Bitches N Marijuana,65,0.5589999999999999,0.0,0,1
55236,R&B,Ella Mai,Switch Sider,56,0.687,0.0,0,1
55240,R&B,Ravyn Lenae,Computer Luv (feat. Steve Lacy),56,0.595,0.0,0,1
55259,R&B,Wet,Old Bone - Jim-E Stack Remix,57,0.755,0.504,0,1
55282,R&B,Jay Park,V,62,0.83,0.0,0,1
56388,R&B,Col3trane,The Fruits,59,0.768,0.0008560000000000001,0,1
56409,R&B,VanJess,Addicted,55,0.684,0.0,0,1
56426,R&B,Beyoncé,Rocket,61,0.495,0.0,0,1
56429,R&B,Jhene Aiko,Hello Ego,57,0.6920000000000001,0.0,0,1
56434,R&B,Hiatus Kaiyote,Nakamarra (feat. Q-Tip),59,0.552,5.21e-05,0,1
56437,R&B,Saba,BROKEN GIRLS,60,0.6629999999999999,0.0,0,1
56443,R&B,HONNE,Location Unknown ◐,62,0.682,9.48e-06,0,1
56444,R&B,NIKI,Newsflash!,58,0.7340000000000001,0.0,0,1
56447,R&B,Cher Lloyd,None Of My Business,67,0.7929999999999999,0.0,0,1
56448,R&B,Julia Michaels,Don't Wanna Think,56,0.53,1e-06,0,1
56484,R&B,Poo Bear,Either,60,0.715,0.00495,0,1
56515,R&B,Sinead Harnett,Want It With You,56,0.747,1.18e-05,0,1
56521,R&B,Kali Uchis,Lottery,56,0.737,0.0,0,1
56543,R&B,Twista,Slow Jamz (feat. Kanye West & Jamie Foxx),63,0.561,0.0,0,1
56548,R&B,Saba,Stay Right Here,59,0.752,0.0,0,1
56551,R&B,Monte Booker,Kolors ft. Smino,56,0.715,2.07e-06,0,1
56569,R&B,Tank,You Don't Know (feat. Wale),53,0.5589999999999999,3.89e-06,0,1
56570,R&B,THEY.,18 Months (feat. Ty Dolla $ign),58,0.6940000000000001,0.0,0,1
56573,R&B,SoMo,Wild Heart,56,0.6779999999999999,0.0,0,1
56574,R&B,Loco,Don't,64,0.85,0.0,0,1
56579,R&B,6LACK,Bless Me,60,0.474,0.0,0,1
56595,R&B,Jhene Aiko,Lyin King,55,0.524,0.0,0,1
56604,R&B,Joji,Will He (Medasin Remix),57,0.614,0.000614,0,1
56635,R&B,Twista,Slow Jamz,59,0.569,0.0,0,1
56638,R&B,Big Sean,Who's Stopping Me (& Metro Boomin),60,0.664,0.0,0,1
56648,R&B,K CAMP,Clouds (feat. Wiz Khalifa),57,0.7709999999999999,0.000178,0,1
56665,R&B,Childish Major,Happy Birthday (feat. SZA & Isaiah Rashad),58,0.741,0.000283,0,1
56668,R&B,Kid Ink,F With U (feat. Ty Dolla $ign),61,0.578,0.0,0,1
56753,R&B,Kali Uchis,Tyrant (feat. Daniel Caesar) - Remix,56,0.6579999999999999,0.0,0,1
56759,R&B,Solange,Borderline (An Ode to Self Care),57,0.69,0.0016,0,1
56766,R&B,Fifth Harmony,He Like That,65,0.5920000000000001,0.0,0,1
56772,R&B,Elijah Blake,Sky Blue,55,0.6759999999999999,0.000156,0,1
56780,R&B,Kiana Ledé,Shame,54,0.8,0.0,0,1
56789,R&B,LL Cool J,Doin' It,64,0.804,0.0398,0,1
56790,R&B,Diddy,I Need A Girl (Part One) (feat. Usher & Loon),64,0.66,0.0,0,1
56794,R&B,Teyana Taylor,Never Would Have Made It,55,0.63,2.61e-06,0,1
56800,R&B,Maxwell,Pretty Wings - uncut,59,0.563,2.07e-06,0,1
56801,R&B,Mariah Carey,GTFO,59,0.69,0.0009710000000000001,0,1
56826,R&B,Sabrina Claudio,Control,54,0.768,0.00221,0,1
56838,R&B,Sinead Harnett,Rather Be with You,59,0.6559999999999999,0.0,0,1
56843,R&B,Kehlani,Everything Is Yours,57,0.608,0.0,0,1
56850,R&B,Sabrina Claudio,We Have Time,53,0.611,0.0,0,1
56860,R&B,Jhene Aiko,Maniac,54,0.43200000000000005,1.35e-06,0,1
56866,R&B,Jordan Rakei,Mind’s Eye,60,0.485,0.0029100000000000003,0,1
56878,R&B,Buddy,Trouble On Central,59,0.812,0.000236,0,1
56901,R&B,Jon B.,They Don't Know,58,0.6970000000000001,3.35e-06,0,1
56911,R&B,LeToya Luckett,B2L,55,0.49,0.0,0,1
56940,R&B,Ciara,Like a Boy,61,0.701,0.0,0,1
56953,R&B,Ginuwine,In Those Jeans,62,0.691,0.0,0,1
56970,R&B,Ravyn Lenae,Blossom Dearie,54,0.55,0.0011099999999999999,0,1
56980,R&B,Iris Temple,Lemonade,54,0.5589999999999999,0.00045700000000000005,0,1
56995,R&B,Alina Baraz,Electric (Marian Hill Remix),54,0.682,0.008140000000000001,0,1
56998,R&B,Soul For Real,Candy Rain - Heavy D & TrakMasterz Mix,55,0.7859999999999999,9.34e-06,0,1
57002,R&B,Noname,Reality Check (feat. Akenya & Eryn Allen Kane),60,0.722,0.0004940000000000001,0,1
57004,R&B,ROSALÍA,QUE NO SALGA LA LUNA - Cap.2: Boda,65,0.625,0.000126,0,1
57012,R&B,Raveena,Johnny It's the Last Time,56,0.752,0.00213,0,1
57014,R&B,Raleigh Ritchie,Time in a Tree,55,0.56,0.0,0,1
57069,R&B,Mahalia,No Reply,57,0.7040000000000001,5.13e-06,0,1
57075,R&B,Monte Booker,Kompany,55,0.5479999999999999,2.23e-06,0,1
57086,R&B,August Alsina,Secret,56,0.491,0.0,0,1
57096,R&B,ROLE MODEL,play the part,55,0.743,4.28e-05,0,1
57097,R&B,RKCB,Vice,59,0.6509999999999999,0.000363,0,1
57114,R&B,Julia Michaels,Just Do It,54,0.8009999999999999,2.48e-05,0,1
57134,R&B,JMSN,Patiently,53,0.721,1.39e-05,0,1
57149,R&B,Kali Uchis,Coming Home - Interlude,55,0.624,3.49e-06,0,1
57156,R&B,Amir Obe,Took You Seriously,58,0.731,7.329999999999999e-05,0,1
57157,R&B,Chris Brown,Wrist,59,0.758,0.0,0,1
57158,R&B,LL Cool J,Hey Lover,62,0.7070000000000001,0.0,0,1
57160,R&B,India.Arie,That Magic,55,0.716,4.49e-06,0,1
57163,R&B,Zion.T,Hello Tutorial,61,0.7390000000000001,0.0,0,1
57166,R&B,Troop,All I Do Is Think of You,56,0.534,0.0,0,1
57183,R&B,alayna,Falling Autumn,55,0.696,1.13e-06,0,1
57192,R&B,Ne-Yo,When You're Mad,57,0.654,0.0,0,1
57199,R&B,anders,Problems,56,0.797,0.0117,0,1
57211,R&B,The Weeknd,Same Old Song,56,0.7709999999999999,4.8599999999999995e-05,0,1
57215,R&B,Ty Dolla $ign,Zaddy,55,0.82,0.0,0,1
57219,R&B,Doja Cat,No Police,56,0.59,0.0054399999999999995,0,1
57276,R&B,Sisqo,Incomplete,62,0.75,0.0,0,1
57313,R&B,Sam Kim,Make Up,59,0.698,0.0,0,1
57330,R&B,ROSALÍA,DE AQUÍ NO SALES - Cap.4: Disputa,65,0.802,0.00981,0,1
57351,R&B,Doja Cat,Wine Pon You,55,0.797,0.00126,0,1
57380,R&B,Chris Brown,Who's Gonna (NOBODY),56,0.634,0.0,0,1
57382,R&B,SWV,Right Here - Human Nature Radio Mix,61,0.615,0.0105,0,1
57393,R&B,Bryson Tiller,Get Mine,55,0.6459999999999999,0.0,0,1
57394,R&B,Amilli,Rarri,56,0.8170000000000001,0.000334,0,1
57400,R&B,DaniLeigh,Be Yourself,53,0.7809999999999999,0.000787,0,1
57412,R&B,Jhene Aiko,Frequency,52,0.7090000000000001,0.0,0,1
57415,R&B,En Vogue,Hold On,59,0.728,0.0,0,1
57419,R&B,Demi Lovato,Hitchhiker,57,0.7,1.21e-05,0,1
57431,R&B,Jessie Reyez,Phone Calls,52,0.826,0.0,0,1
57438,R&B,Alicia Keys,Lesson Learned (feat. John Mayer),58,0.6809999999999999,3.48e-06,0,1
57440,R&B,Crush,none,57,0.551,0.0,0,1
57444,R&B,Joe Hertz,Playing for You,57,0.53,8.33e-06,0,1
57446,R&B,Marc E. Bassy,Lock It Up (feat. Kehlani),56,0.738,0.0,0,1
57457,R&B,Jack Garratt,Worry,60,0.585,0.000317,0,1
57475,R&B,Empire Cast,What Is Love (feat. V. Bozeman),54,0.514,0.0,0,1
57479,R&B,alayna,Sweet Soul,55,0.652,0.0,0,1
57496,R&B,Trey Songz,1x1,60,0.493,0.0,0,1
57506,R&B,Mariah Carey,8th Grade,56,0.76,0.0,0,1
57519,R&B,Dreezy,Love Someone (feat. Jacquees),52,0.735,0.0,0,1
57527,R&B,Next,Butta Love,58,0.735,0.0,0,1
57530,R&B,6LACK,In Between (feat. BANKS) - Bonus,59,0.545,0.004079999999999999,0,1
59533,R&B,Chris Brown,Beautiful People,52,0.632,0.00621,0,1
59538,R&B,Jonn Hart,LIFL,54,0.777,0.0,0,1
59557,R&B,Kevin Garrett,Little Bit of You,58,0.655,0.0884,0,1
59565,R&B,Souly Had,Lifeline,50,0.835,4.33e-06,0,1
59566,R&B,Sinead Harnett,Lessons,54,0.545,0.0,0,1
59569,R&B,Tori Kelly,Don't You Worry 'Bout A Thing,58,0.617,1.92e-05,0,1
59587,R&B,Toro y Moi,Miss Me (feat. ABRA),55,0.659,0.000106,0,1
59588,R&B,Mick Jenkins,Angles (feat. Noname & Xavier Omär),58,0.598,0.0,0,1
59589,R&B,Gwen Stefani,What U Workin' With?,60,0.753,0.00015900000000000002,0,1
59591,R&B,Alessia Cara,Girl Next Door,55,0.705,0.0,0,1
59608,R&B,B.o.B,Roll Up (feat. Marko Penn),58,0.825,0.0,0,1
59614,R&B,Jacquees,No Validation,54,0.6890000000000001,0.0,0,1
59627,R&B,Trey Songz,All We Do,56,0.6729999999999999,0.0,0,1
59645,R&B,Bryson Tiller,You Got It,54,0.7879999999999999,0.0,0,1
59667,R&B,Trey Songz,Priceless,56,0.691,0.0,0,1
59670,R&B,William Singe,Right Hand,53,0.79,0.0,0,1
59689,R&B,Majid Jordan,Every Step Every Way,53,0.7070000000000001,3.76e-05,0,1
59691,R&B,Ne-Yo,LA NIGHTS,57,0.738,0.0,0,1
59734,R&B,Toni Braxton,Long As I Live,58,0.5329999999999999,0.000109,0,1
59735,R&B,Lianne La Havas,What You Don't Do - Tom Misch Remix,56,0.7040000000000001,0.13699999999999998,0,1
59755,R&B,Jeremih,Worthy,57,0.8079999999999999,1.0199999999999999e-05,0,1
59763,R&B,Jorja Smith,Beautiful Little Fools,56,0.525,0.136,0,1
59774,R&B,Jacquees,Studio feat. Young Thug,53,0.655,0.0,0,1
59807,R&B,Zion.T,Eat,58,0.662,4.79e-06,0,1
59818,R&B,Bruno Major,The First Thing You See,54,0.648,0.063,0,1
59859,R&B,Tora,Jaigantic (Galimatias Remix),54,0.53,0.0,0,1
59867,R&B,Ivy Sole,Rollercoaster,52,0.762,0.00143,0,1
59893,R&B,Mariah Carey,One Mo' Gen,55,0.6459999999999999,0.0,0,1
59898,R&B,Jon B.,Don't Talk,56,0.8140000000000001,0.0,0,1
59909,R&B,August Alsina,Be Love,53,0.504,0.0,0,1
59912,R&B,Jay Park,몸매 Mommae (feat. Ugly Duck),58,0.745,0.0,0,1
59943,R&B,Nao,Adore You (feat. Abhi Dijon),54,0.679,0.00035499999999999996,0,1
59971,R&B,Zara Larsson,Sexual - Recorded at Spotify Studios NYC,63,0.6990000000000001,0.0,0,1
59972,R&B,Hunnah,Think About It,50,0.5920000000000001,1.9399999999999997e-05,0,1
60021,R&B,Bryson Tiller,Teach Me a Lesson,53,0.623,1.31e-05,0,1
60023,R&B,Eric Bellinger,Shadows in the Dark (feat. Jeremih),49,0.621,0.000242,0,1
60059,R&B,Låpsley,Hurt Me,56,0.6609999999999999,7.06e-05,0,1
60077,R&B,William Singe,Fake Love,54,0.6579999999999999,0.0,0,1
60083,R&B,HEIZE,Don't know you,57,0.6990000000000001,0.0,0,1
60115,R&B,Nao,Fool to Love,56,0.542,0.0,0,1
60137,R&B,Lo-Fang,You're the One That I Want,58,0.445,0.00036899999999999997,0,1
60155,R&B,Jacquees,Beauty Doesn’t Cry,52,0.755,0.0,0,1
60175,R&B,Demi Lovato,Concentrate,55,0.6629999999999999,0.0,0,1
60199,R&B,Loyle Carner,Damselfly,64,0.82,0.00159,0,1
60204,R&B,NIKI,Pools,52,0.748,0.23800000000000002,0,1
60214,R&B,Wale,The Body (feat. Jeremih),54,0.493,0.0,0,1
60254,R&B,Ady Suleiman,Need Somebody To Love,61,0.688,0.0,0,1
60288,R&B,Tink,Aquafina,49,0.6970000000000001,3.9e-05,0,1
60320,R&B,Usher,Rivals (feat. Future),56,0.519,0.0,0,1
60323,R&B,Joe Hertz,For Us,55,0.7170000000000001,0.0032600000000000003,0,1
60342,R&B,Yung Bleu,Tracy's Song,49,0.6970000000000001,0.00105,0,1
60406,R&B,Craig David,I Know You,67,0.56,0.0,0,1
60436,R&B,Trey Songz,Let Me Know,53,0.608,0.0,0,1
60441,R&B,Anthony Hamilton,Can't Let Go,52,0.65,0.0,0,1
60453,R&B,Loco,Say Yes,62,0.685,0.0,0,1
60458,R&B,Chris Brown,Confidence,57,0.767,3.51e-06,0,1
60475,R&B,Kid Ink,That's on You,59,0.596,0.0,0,1
60492,R&B,Tora,Another Case,55,0.799,0.24600000000000002,0,1
60522,R&B,Maribou State,Midas,62,0.6970000000000001,0.379,0,1
60526,R&B,SoMo,Control,48,0.335,0.0,0,1
60549,R&B,Tink,On to the Next One,48,0.8079999999999999,0.00021400000000000002,0,1
60618,R&B,Madison Beer,Melodies,55,0.483,0.0,0,1
60651,R&B,Chris Brown,Rock Your Body,54,0.46299999999999997,0.0,0,1
60659,R&B,HONNE,Shrink ◐,56,0.693,0.000361,0,1
60663,R&B,Rita Ora,Poison,62,0.579,1.52e-06,0,1
60666,R&B,Loyle Carner,Ottolenghi,66,0.752,0.017,0,1
60719,R&B,Two Another,Waiting on You,52,0.7959999999999999,0.13699999999999998,0,1
60730,R&B,Vedo,Right or Wrong,47,0.8240000000000001,0.0,0,1
60743,R&B,Jeff Bernat,Still,49,0.485,0.000349,0,1
60788,R&B,Trey Songz,Attitude,52,0.768,0.0,0,1
60844,R&B,The Weeknd,Can't Feel My Face - Martin Garrix Remix,58,0.609,1.58e-05,0,1
60874,R&B,Da Brat,Funkdafied,52,0.802,0.0,0,1
60910,R&B,Rels B,Buenos Genes,73,0.804,0.0,0,1
60917,R&B,Chris Brown,Lights Out,55,0.73,0.0,0,1
60922,R&B,RKCB,Know Love,55,0.67,0.00294,0,1
60952,R&B,Jorja Smith,A Prince,54,0.561,0.0,0,1
60998,R&B,Chris Brown,Sip,52,0.6859999999999999,0.0,0,1
61044,R&B,Jacquees,Destiny's Child,48,0.42700000000000005,0.0,0,1
61051,R&B,Jhene Aiko,It's Cool,47,0.519,0.00037400000000000004,0,1
61053,R&B,Ty Dolla $ign,Sitting Pretty (feat. Wiz Khalifa),49,0.737,0.0,0,1
61061,R&B,Yashua,Todo Es Igual,58,0.741,9.58e-05,0,1
61130,R&B,Tora,Wouldn't Be the Same,53,0.642,0.000995,0,1
61186,R&B,Tory Lanez,Karreuche,52,0.52,0.0,0,1
61206,R&B,Sango,Sweet Holy Honey (feat. Xavier Omär),47,0.623,0.00264,0,1
61240,R&B,Two Another,Hoping You Changed,56,0.69,0.0,0,1
61257,R&B,Tove Lo,shivering gold,58,0.606,0.0,0,1
61330,R&B,Roy Woods,Dangerous,53,0.7929999999999999,0.00095,0,1
61429,R&B,Whitney Houston,I Didn't Know My Own Strength,55,0.601,0.0,0,1
61447,R&B,Christina Aguilera,I Turn to You,58,0.599,0.0,0,1
61483,R&B,Two Another,Shouldn't Have Done That,54,0.7859999999999999,0.121,0,1
61545,R&B,Mario,Too Many Options,53,0.691,1.3300000000000001e-05,0,1
61652,R&B,Code Kunst,XI,54,0.467,3.32e-06,0,1
61694,R&B,Sam Kim,Think About' Chu,52,0.779,0.0,0,1
61722,R&B,Sabrina Claudio,Cross Your Mind - Spanish Version / Bonus Track,52,0.721,0.00056,0,1
61740,R&B,Roy Woods,Switch,52,0.6709999999999999,0.000324,0,1
61773,R&B,ABRA,Roses,51,0.752,0.00518,0,1
61775,R&B,Usher,Crash,56,0.698,0.00033,0,1
61793,R&B,Wet,Lately,49,0.657,0.0593,0,1
61802,R&B,Zion.T,Just (From Young),51,0.752,0.000132,0,1
61806,R&B,Dounia,Casablanca,47,0.846,0.0020800000000000003,0,1
61876,Folk,John Prine,I Have Met My Love Today,45,0.625,0.000266,0,1
62108,Folk,Van Morrison,The Way Young Lovers Do,48,0.389,0.0,0,1
62197,Folk,Cass Elliot,Make Your Own Kind Of Music,41,0.521,4.37e-06,0,1
62200,Folk,Shakey Graves,"""Dearly Departed"" - Live from Spotify Sxsw 2014 (feat. Esme Patterson)",45,0.561,1.09e-06,0,1
62220,Folk,Wild Child,Meadows,45,0.713,0.00132,0,1
62223,Folk,Sam The Sham & The Pharaohs,Wooly Bully,54,0.5820000000000001,3.66e-06,0,1
62249,Folk,Ben Howard,There's Your Man,53,0.605,0.124,0,1
62344,Folk,Penny and Sparrow,Finery,44,0.469,0.0,0,1
62580,Folk,Father John Misty,Strange Encounter,43,0.293,0.009590000000000001,0,1
62647,Folk,Harry Nilsson,Everybody's Talkin',52,0.496,7.54e-05,0,1
62850,Folk,Bahamas,Bad Boys Need Love Too,45,0.7909999999999999,0.00143,0,1
62905,Folk,M. Ward,Vincent O'Brien,44,0.625,0.0015199999999999999,0,1
62937,Folk,Arcade Fire,Good God Damn,56,0.799,0.00293,0,1
63089,Folk,Billy Raffoul,Dark Four Door,54,0.733,0.0,0,1
63384,Folk,Little Feat,Long Distance Love,48,0.792,0.0021100000000000003,0,1
63426,Folk,Lykke Li,two nights,55,0.6679999999999999,0.0,0,1
63653,Folk,Rhye,Count To Five,55,0.815,0.026000000000000002,0,1
64023,Folk,Mason Jennings,Santa Claus Is Coming To Town,44,0.546,2.08e-06,0,1
64321,Folk,Buffalo Springfield,Pretty Girl Why,44,0.64,0.131,0,1
64455,Folk,Laura Marling,A Hard Rain's A-Gonna Fall,52,0.595,0.000126,0,1
64507,Folk,John Lennon,God - Remastered 2010,52,0.64,0.0027600000000000003,0,1
65437,Folk,Erato,Now Go,45,0.628,0.0,0,1
65712,Folk,Conor Oberst,No One Changes,43,0.589,0.0,0,1
66002,Folk,Ziggy Alberts,On Hold,59,0.767,7.9e-06,0,1
66608,Hip-Hop,Meek Mill,Going Bad (feat. Drake),95,0.889,0.0,0,1
66621,Hip-Hop,Metro Boomin,Space Cadet (feat. Gunna),87,0.9009999999999999,1.7100000000000002e-05,0,1
66632,Hip-Hop,Metro Boomin,10 Freaky Girls (with 21 Savage),85,0.81,0.0,0,1
66656,Hip-Hop,XXXTENTACION,Hope,83,0.5920000000000001,0.000331,0,1
66657,Hip-Hop,NF,Let You Down,84,0.6559999999999999,0.0,0,1
66663,Hip-Hop,21 Savage,monster,85,0.89,0.00022799999999999999,0,1
66665,Hip-Hop,2 Chainz,Rule The World (feat. Ariana Grande),80,0.5920000000000001,2.63e-06,0,1
66678,Hip-Hop,Ski Mask The Slump God,Foot Fungus,81,0.8809999999999999,1.5e-06,0,1
66698,Hip-Hop,Drake,Passionfruit,82,0.804,0.0862,0,1
66704,Hip-Hop,Drake,I'm Upset,79,0.899,0.0,0,1
66706,Hip-Hop,NF,Lie,79,0.753,0.0,0,1
66720,Hip-Hop,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),79,0.877,0.0,0,1
66731,Hip-Hop,21 Savage,all my friends,80,0.713,1.16e-06,0,1
66733,Hip-Hop,Kodak Black,Pimpin Ain't Eazy,74,0.644,0.0,0,1
66744,Hip-Hop,"Tyler, The Creator",See You Again,78,0.5579999999999999,7.49e-06,0,1
66745,Hip-Hop,Joyner Lucas,I Love,78,0.6709999999999999,6.51e-05,0,1
66746,Hip-Hop,KYLE,Playinwitme (feat. Kehlani),80,0.6890000000000001,0.0,0,1
66753,Hip-Hop,2 Chainz,Bigger Than You (feat. Drake & Quavo),77,0.888,0.0,0,1
66756,Hip-Hop,Offset,How Did I Get Here (feat. J. Cole),80,0.883,1.6e-06,0,1
66784,Hip-Hop,Future,Hard Work Pays Off,77,0.736,0.0,0,1
66788,Hip-Hop,NF,If You Want Love,77,0.6809999999999999,0.0,0,1
